12292535000162010120253101202527022025CAMARA DE VEREADORES DE INDEPENDENCIA-RS                                        
2005300000000000000DESPESAS CORRENTES                                                                                            S01
2005310000000000000PESSOAL E ENCARGOS SOCIAIS                                                                                    S02
2005319000000000000APLICACOES DIRETAS                                                                                            S03
2005319001000000000APOSENTADORIAS E REFORMAS                                                                                     S05
2005319001010000000PROVENTOS - PESSOAL CIVIL                                                                                     A06
200531900106000000013 SALARIO - PESSOAL CIVIL                                                                                    A06
2005319001990000000OUTRAS APOSENTADORIAS                                                                                         A06
2005319003000000000PENSOES                                                                                                       S05
2005319003010000000CIVIS                                                                                                         A06
200531900303000000013 SALARIO - PESSOAL CIVIL - PENSIONISTAS                                                                     A06
2005319003990000000OUTRAS PENSOES                                                                                                A06
2005319004000000000CONTRATACAO POR TEMPO DETERMINADO                                                                             S05
2005319004010000000PROFESSORES SUBSTITUTOS/VISITANTES                                                                            S06
2005319004010100000CONTRATACAO POR TEMPO DETERMINADO-PROFESSORES NO EFETIVO EXERCICIO DO MAGISTERIO 60 FUNDEF                    A07
2005319004010200000CONTRATACAO POR TEMPO DETERMINADO DE PROFESSORES                                                              A07
2005319004150000000OBRIGACOES PATRONAIS                                                                                          A06
2005319004990000000OUTRAS CONTRATACOES POR TEMPO DETERMINADO                                                                     S06
2005319004990100000CONTRATACAO POR TEMPO DETERMINADO DE PROFISSIONAIS DA SAUDE                                                   A07
2005319004990100100CONTRATAAO POR TEMPO DETERMINADO DA SADE - SERVIDORES                                                         A08
2005319004990100200CONTRATAAO POR TEMPO DETERMINADO P S F FED - SERVIDORES                                                       A08
2005319004990100300CONTRATAAO POR TEMPO DETERMINADO P A C S FED - SERVIDORES                                                     A08
2005319004990100400CONTRATAAO POR TEMPO DETERMINADO - PSF EST- SERVIDOR                                                          A08
2005319004990200000CONTRATAAO POR TEMPO DETERMINADO DE PROFISSIONAIS DA ASSIST SOCIAL                                            A07
2005319004990300000CONTRATAAO POR TEMPO DETERMINADO DE PROFISSIONAIS DE OUTRAS REAS                                              A07
200531900499040000013O SALRIO DE CONTRATAADOS                                                                                    S07
200531900499040010013O SALARIO CONTRATADOS SADE                                                                                  A08
200531900499040020013O SALRIO CONTRATADOS PSF FED                                                                                A08
200531900499040030013O SALRIO CONTRATADOS PACS FED                                                                               A08
200531900499040040013O SALARIO CONTRATADOS PSF EST                                                                               A08
200531900499040050013O SALARIO DEMAIS CONTRATADOS                                                                                A08
2005319005000000000OUTROS BENEFICIOS PREVIDENCIARIOS                                                                             S05
2005319005000100000OUTROS BENEFICIOS PREVIDENCIARIOS - PESSOAL ATIVO                                                             S07
2005319005000100100AUXILIO-DOENCA - PESSOAL ATIVO                                                                                A08
2005319005000100200AUXILIO-RECLUSAO - PESSOAL ATIVO                                                                              A08
2005319005000100300SALARIO MATERNIDADE - PESSOAL ATIVO                                                                           A08
2005319005000100400ESPECIFICACAO DAS DEMAIS CONTAS                                                                               A08
2005319005000200000OUTROS BENEFICIOS PREVIDENCIARIOS - PESSOAL INATIVO                                                           S07
2005319005000200100AUXILIO-DOENCA - PESSOAL INATIVO                                                                              A08
2005319005000200200AUXILIO-RECLUSAO - PESSOAL INATIVO                                                                            A08
2005319005000200300SALARIO MATERNIDADE - PESSOAL INATIVO                                                                         A08
2005319005000200400ESPECIFICACAO DAS DEMAIS CONTAS                                                                               A08
2005319005000300000OUTROS BENEFICIOS PREVIDENCIARIOS - PENSIONISTAS                                                              S07
2005319005000300100AUXILIO-DOENCA - PENSIONISTAS                                                                                 A08
2005319005000300200AUXILIO-RECLUSAO - PENSIONISTAS                                                                               A08
2005319005000300300SALARIO MATERNIDADE - PENSIONISTAS                                                                            A08
2005319005000300400ESPECIFICACAO DAS DEMAIS CONTAS                                                                               A08
2005319007000000000CONTRIBUICAO  A ENTIDADES FECHADAS DE PREVIDENCIA                                                             S05
2005319007010000000COMPLEMENTACAO DE PREVIDENCIA                                                                                 A06
2005319007030000000CONTRIBUICAO  PATRONAL PREVIDENCIA PRIVADA                                                                    A06
2005319007990000000OUTRAS CONTRIBUICOES                                                                                          A06
2005319008000000000OUTROS BENEFICIOS ASSISTENCIAIS                                                                               S05
2005319008010000000AUXILIO FUNERAL ATIVO CIVIL                                                                                   A06
2005319008030000000AUXILIO FUNERAL INATIVO CIVIL                                                                                 A06
2005319008050000000AUXILIO NATALIDADE ATIVO CIVIL                                                                                A06
2005319008070000000AUXILIO NATALIDADE INATIVO CIVIL                                                                              A06
2005319008090000000AUXILIO RECLUSAO ATIVO CIVIL                                                                                  A06
2005319008110000000AUXILIO RECLUSAO INATIVO CIVIL                                                                                A06
2005319008130000000AUXILIO FUNERAL PENSIONISTA CIVIL                                                                             A06
2005319008150000000AUXILIO RECLUSAO PENSIONISTA CIVIL                                                                            A06
2005319008180000000AUXILIO NATALIDADE PENSIONISTA CIVIL                                                                          A06
2005319008990000000OUTROS BENEFICIOS ASSISTENCIAIS                                                                               S06
2005319008990100000AUXILIO CRECHE                                                                                                A07
2005319008990200000ASSISTENCIA PRE-ESCOLAR                                                                                       A07
2005319008990300000AUXILIO INVALIDEZ                                                                                             A07
2005319008990400000CONTRIBUICAO DA ENTIDADE PARA O ATENDIMENTO A SAUDE DO SERVIDOR                                               A07
2005319008990500000ESPECIFICACAO DAS DEMAIS CONTAS                                                                               A07
2005319009000000000SALARIO-FAMILIA                                                                                               S05
2005319009010000000SALARIO FAMILIA - ATIVO PESSOAL CIVIL                                                                         S06
2005319009010100000SALARIO-FAMILIA DOS SERVIDORES                                                                                A07
2005319009010200000SALARIO-FAMILIA-PROFESORES NO EFETIVO EXERCICIO  DO MAGISTERIO 60 FUNDEF                                      A07
2005319009020000000SALARIO FAMILIA-INATIVO PESSOAL CIVIL                                                                         A06
2005319009050000000SALARIO FAMILIA-PENSIONISTA PESSOAL CIVIL                                                                     A06
2005319009990000000OUTROS SALARIOS-FAMILIA                                                                                       A06
2005319011000000000VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                                                 S05
2005319011010000000VENCIMENTOS E SALARIOS                                                                                        A06
2005319011010100000VENCIMENTOS E VANTAGENS FIXAS                                                                                 S07
2005319011010100100VENCIMENTOS E VANTAGENS FIXAS - SERVIDORES                                                                    A08
2005319011010100200VENCIMENTOS E VANTAGENS FIXAS - P S F FE - SERVIDORES                                                         A08
2005319011010100300VENCIMENTOS E VANTAGENS FIXAS - P A C S - SERVIDORES                                                          A08
2005319011010100400VENCIMENTOS E VANTAGENS FIXAS- P S F EST - SERVIDORES                                                         A08
2005319011010200000VENCIMENTOS E VANTAGENS FIXAS-PROFESSORES NO EFETIVO EXERCICIO DO MAGISTERIO 60 FUNDEF                        A07
2005319011040000000ADICIONAL NOTURNO                                                                                             A06
2005319011050000000INCORPORACOES                                                                                                 A06
2005319011080000000ADIANTAMENTO PECUNIARIO                                                                                       A06
2005319011090000000ADICIONAL DE PERICULOSIDADE                                                                                   A06
2005319011100000000ADICIONAL DE INSALUBRIDADE                                                                                    A06
2005319011300000000ABONO PROVISORIO - PESSOAL CIVIL                                                                              A06
2005319011310000000GRATIFICACAO POR EXERCICIO DE CARGOS                                                                          A06
2005319011330000000GRATIFICACAO POR EXERCICIO DE FUNCOES                                                                         A06
2005319011370000000GRATIFICACAO DE TEMPO DE SERVICO                                                                              A06
2005319011420000000FERIAS INDENIZADAS                                                                                            A06
200531901143000000013 SALARIO                                                                                                    A06
2005319011440000000FERIAS - ABONO PECUNIARIO                                                                                     A06
2005319011450000000FERIAS - ABONO CONSTITUCIONAL                                                                                 A06
2005319011460000000FERIAS - PAGAMENTO ANTECIPADO                                                                                 A06
2005319011470000000LICENCA-PREMIO                                                                                                A06
2005319011490000000LICENCA CAPACITACAO                                                                                           A06
2005319011730000000REMUNERAAO PELA  PARTICIPACAO EM  ORGAOS DE  DELIBERACAO COLETIVA                                             S06
2005319011730100000REMUNERACAO DOS CONSELHEIROS TUTELARES                                                                        A07
2005319011730200000REMUNERACAO DOS INTEGRANTES DAS JARIS                                                                         A07
2005319011730300000ESPECIFICACAO DAS DEMAIS CONTAS                                                                               A07
2005319011740000000SUBSIDIOS                                                                                                     A06
2005319011750000000REPRESENTACAO MENSAL                                                                                          A06
2005319011990000000OUTRAS DESPESAS FIXAS - PESSOAL CIVIL                                                                         A06
2005319013000000000OBRIGACOES PATRONAIS                                                                                          S05
2005319013010000000FGTS                                                                                                          S06
2005319013010100000FGTS - SERVIDORES                                                                                             A07
