12091144000180010120253101202501022025FUNDO DE PREVIDENCIA SOCIAL RPPS                                                
2018300000000000000DESPESAS CORRENTES                                                                                            S01
2018310000000000000PESSOAL E ENCARGOS SOCIAIS                                                                                    S02
2018313000000000000TRANSFERENCIAS A ESTADOS E AO DISTRITO FEDERAL                                                                S03
2018313013000000000OBRIGAES PATRONAIS                                                                                            S05
2018313013400000000ENCARGOS DE PESSOAL REQUISITADOS DE OUTROS ENTES                                                              S06
2018313013400100000CONTRIBUIO PATRONAL PARA O RPPS DO ESTADO                                                                     A07
2018314000000000000TRANSFERENCIAS A MUNICIPIOS                                                                                   S03
2018314013000000000OBRIGAES PATRONAIS                                                                                            S05
2018314013400000000ENCARGOS DE PESSOAL REQUISITADO DE OUTROS ENTES                                                               S06
2018314013400100000CONTRIBUIO PATRONAL PARA RPPS DE OUTRO MUNICIPIO                                                              A07
2018315000000000000TRANSFERNCIAS A INSTITUIES PRIVADAS SEM FINS LUCRATIVOS                                                       S03
2018315011000000000VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                                                 S05
2018315011990000000OUTRAS DESPESAS FIXAS - PESSOAL CIVIL                                                                         S06
2018315011991000000TRANSFERENCIAS DE RECURSOS PARA COBERTURA DE DESPESAS COM PESSOAL CONTRATADO ATRAVS DE INSTITUIES             A07
2018315013000000000OBRIGAES PATRONAIS                                                                                            S05
2018315013010000000FGTS                                                                                                          A06
2018315013020000000INSS                                                                                                          A06
2018317100000000000TRANSFERNCIAS A CONSRCIOS PBLICOS                                                                             S04
2018317170000000000RATEIO PELA PARTICIPAO EM CONSRCIO PBLICO                                                                     S05
2018317170010000000COFRON                                                                                                        A06
2018317170020000000CISMISSOES                                                                                                    A06
2018317170030000000CIGRES                                                                                                        A06
2018319000000000000APLICAES DIRETAS                                                                                              S03
2018319001000000000APOSENTADORIAS DO RPPS RESERVA REMUNERADA E REFORMAS DOS MILITARES                                            S05
2018319001010000000PROVENTOS - PESSOAL CIVIL                                                                                     A06
201831900106000000013 SALARIO - APOSENTADOS - PESSOAL CIVIL                                                                      A06
2018319001990000000OUTRAS APOSENTADORIAS                                                                                         A06
2018319003000000000PENSES DO RPPS E DO MILITAR                                                                                   S05
2018319003010000000PENSES - PESSOAL CIVIL                                                                                        A06
201831900303000000013 SALARIO - PESSOAL CIVIL - PENSIONISTAS                                                                     A06
2018319003990000000OUTRAS PENSOES                                                                                                A06
2018319004000000000CONTRATAO POR TEMPO DETERMINADO                                                                               S05
2018319004010000000PROFESSORES SUBSTITUTOS/VISITANTES                                                                            S06
2018319004010200000CONTRATACAO POR TEMPO DETERMINADO DE PROFESSORES                                                              A07
2018319004150000000OBRIGACOES PATRONAIS                                                                                          S06
2018319004150100000INSS DE PESSOAL CONTRATADO TEMPORARIAMENTE                                                                    A07
2018319004150200000FGTS DE PESSOAL CONTRATADO TEMPORARIAMENTE                                                                    A07
2018319004990000000OUTRAS CONTRATACOES POR TEMPO DETERMINADO                                                                     S06
2018319004990100000CONTRATACAO POR TEMPO DETERMINADO DE PROFISSIONAIS DA SAUDE                                                   A07
2018319004999900000OUTRAS CONTRATACOES POR TEMPO DETERMINADO                                                                     A07
2018319005000000000OUTROS BENEFCIOS PREVIDENCIRIOS DO SERVIDOR OU DO MILITAR                                                     S05
2018319005000100000OUTROS BENEFICIOS PREVIDENCIARIOS - PESSOAL ATIVO                                                             S07
2018319005000100100AUXILIO-DOENCA - PESSOAL ATIVO                                                                                A08
2018319005000100200AUXILIO-RECLUSAO - PESSOAL ATIVO                                                                              A08
2018319005000100300SALARIO MATERNIDADE - PESSOAL ATIVO                                                                           A08
2018319005000100400AUXILIO-ACIDENTE                                                                                              A08
2018319005000100500SALARIO-FAMILIA DE SEGURADOS                                                                                  A08
2018319005000100600ABONO ANUAL  13 SALARIO                                                                                       A08
2018319005000109900OUTROS BENEFICIOS PREVIDENCIARIOS                                                                             A08
2018319005000200000OUTROS BENEFICIOS PREVIDENCIARIOS - PESSOAL INATIVO                                                           S07
2018319005000200100AUXILIO-DOENCA - PESSOAL INATIVO                                                                              A08
2018319005000200200AUXILIO-RECLUSAO - PESSOAL INATIVO                                                                            A08
2018319005000200300SALARIO MATERNIDADE - PESSOAL INATIVO                                                                         A08
2018319005000200400AUXILIO-ACIDENTE                                                                                              A08
2018319005000200500SALARIO-FAMILIA DE SEGURADOS                                                                                  A08
2018319005000200600ABONO ANUAL  13 SALARIO                                                                                       A08
2018319005000209900OUTROS BENEFICIOS PREVIDENCIARIOS                                                                             A08
2018319005000300000OUTROS BENEFICIOS PREVIDENCIARIOS - PENSIONISTAS                                                              S07
2018319005000300100AUXILIO-DOENCA - PENSIONISTAS                                                                                 A08
2018319005000300200AUXILIO-RECLUSAO - PENSIONISTAS                                                                               A08
2018319005000300300SALARIO MATERNIDADE - PENSIONISTAS                                                                            A08
2018319005000300400AUXILIO-ACIDENTE                                                                                              A08
2018319005000300600ABONO ANUAL  13 SALARIO                                                                                       A08
2018319005000309900OUTROS BENEFICIOS PREVIDENCIARIOS                                                                             A08
2018319007000000000CONTRIBUIO A ENTIDADES FECHADAS DE PREVIDNCIA                                                                 S05
2018319007010000000COMPLEMENTACAO DE PREVIDENCIA                                                                                 A06
2018319007030000000CONTRIBUICAO  PATRONAL PREVIDENCIA PRIVADA                                                                    A06
2018319007990000000OUTRAS CONTRIBUICOES                                                                                          A06
2018319008000000000OUTROS BENEFCIOS ASSISTENCIAIS DO SERVIDOR E DO MILITAR                                                       S05
2018319008010000000AUXILIO FUNERAL ATIVO CIVIL                                                                                   A06
2018319008030000000AUXILIO FUNERAL INATIVO CIVIL                                                                                 A06
2018319008050000000AUXILIO NATALIDADE ATIVO CIVIL                                                                                A06
2018319008070000000AUXILIO NATALIDADE INATIVO CIVIL                                                                              A06
2018319008090000000AUXILIO RECLUSAO ATIVO CIVIL                                                                                  A06
2018319008110000000AUXILIO RECLUSAO INATIVO CIVIL                                                                                A06
2018319008130000000AUXILIO FUNERAL PENSIONISTA CIVIL                                                                             A06
2018319008150000000AUXILIO RECLUSAO PENSIONISTA CIVIL                                                                            A06
2018319008180000000AUXILIO NATALIDADE PENSIONISTA CIVIL                                                                          A06
2018319008990000000OUTROS BENEFICIOS ASSISTENCIAIS                                                                               S06
2018319008990100000AUXILIO CRECHE                                                                                                A07
2018319008990200000ASSISTENCIA PRE-ESCOLAR                                                                                       A07
2018319008990300000AUXILIO INVALIDEZ                                                                                             A07
2018319008990400000CONTRIBUICAO DA ENTIDADE PARA O ATENDIMENTO A SAUDE DO SERVIDOR                                               A07
2018319009000000000SALRIO-FAMLIA                                                                                                 S05
2018319009010000000SALARIO FAMILIA - ATIVO PESSOAL CIVIL                                                                         A06
2018319009020000000SALARIO FAMILIA-INATIVO PESSOAL CIVIL                                                                         A06
2018319009050000000SALARIO FAMILIA-PENSIONISTA PESSOAL CIVIL                                                                     A06
2018319009990000000OUTROS SALARIOS-FAMILIA                                                                                       A06
2018319011000000000VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                                                 S05
2018319011010000000VENCIMENTOS E SALARIOS                                                                                        S06
2018319011010100000VENCIMENTOS E VANTAGENS FIXAS - SERVIDORES                                                                    A07
2018319011040000000ADICIONAL NOTURNO                                                                                             A06
2018319011050000000INCORPORACOES                                                                                                 A06
2018319011070000000ABONO DE PERMANENCIA                                                                                          A06
2018319011080000000ADIANTAMENTO PECUNIARIO                                                                                       A06
2018319011090000000ADICIONAL DE PERICULOSIDADE                                                                                   A06
2018319011100000000ADICIONAL DE INSALUBRIDADE                                                                                    A06
2018319011110000000ADICIONAL DE ATIVIDADES PENOSAS                                                                               A06
2018319011300000000ABONO PROVISORIO - PESSOAL CIVIL                                                                              A06
2018319011310000000GRATIFICACAO POR EXERCICIO DE CARGOS                                                                          A06
2018319011330000000GRATIFICACAO POR EXERCICIO DE FUNCOES                                                                         A06
2018319011370000000GRATIFICACAO DE TEMPO DE SERVICO                                                                              A06
2018319011400000000GRATIFICACOES ESPECIAIS                                                                                       A06
2018319011420000000FERIAS INDENIZADAS                                                                                            A06
201831901143000000013 SALARIO                                                                                                    A06
2018319011440000000FERIAS - ABONO PECUNIARIO                                                                                     A06
2018319011450000000FERIAS - ABONO CONSTITUCIONAL                                                                                 A06
2018319011460000000FERIAS - PAGAMENTO ANTECIPADO                                                                                 A06
2018319011470000000LICENCA-PREMIO                                                                                                A06
2018319011480000000LICENA PRMIO INDENIZADA                                                                                       A06
2018319011490000000LICENCA CAPACITACAO                                                                                           A06
2018319011730000000REMUNERAO PELA  PARTICIPACAO EM  ORGAOS DE  DELIBERACAO COLETIVA                                              S06
2018319011730100000REMUNERACAO DOS CONSELHEIROS TUTELARES                                                                        A07
2018319011730200000REMUNERACAO DOS INTEGRANTES DAS JARIS                                                                         A07
2018319011739900000REMUNERACOES PELA PARTICIPACAO EM OUTROS ORGAOS DE DELIBERACAO COLETIVA                                       S07
2018319011739900100JETON CONSELHO RPPS                                                                                           A08
2018319011740000000SUBSIDIOS                                                                                                     A06
2018319011750000000REPRESENTACAO MENSAL                                                                                          A06
2018319011990000000OUTRAS DESPESAS FIXAS - PESSOAL CIVIL                                                                         S06
2018319011991100000MAIS MEDICOS                                                                                                  A07
2018319013000000000OBRIGAES PATRONAIS                                                                                            S05
2018319013010000000FGTS                                                                                                          S06
2018319013010100000FGTS - SERVIDORES                                                                                             A07
2018319013020000000CONTRIBUICOES PREVIDENCIARIAS - INSS                                                                          S06
2018319013020100000INSS - SERVIDORES                                                                                             A07
2018319013020300000INSS - AGENTES POLITICOS                                                                                      A07
2018319013020400000INSS SOBRE SESSAO EXTRAORDINARIA - AGENTES POLITICOS                                                          A07
2018319013020500000INSS SOBRE CONVOCACAO EXTRAORDINARIA - AGENTES POLITICOS                                                      A07
2018319013150000000MULTAS                                                                                                        A06
2018319013400000000ENCARGOS DE PESSOAL REQUISITADO DE OUTROS ENTES                                                               A06
2018319013990000000OUTRAS OBRIGACOES PATRONAIS                                                                                   S06
2018319013990100000ENCARGO PATRONAL SOBRE SERVICOS DE MEI                                                                        A07
2018319016000000000OUTRAS DESPESAS VARIVEIS - PESSOAL CIVIL                                                                      S05
2018319016040000000CONVOCACAO EXTRAORDINARIA                                                                                     A06
2018319016320000000SUBSTITUICOES                                                                                                 A06
2018319016440000000SERVICOS EXTRAORDINARIOS                                                                                      S06
2018319016440100000HORAS EXTRAORDINARIAS                                                                                         A07
2018319016440200000HORA-MAQUINA                                                                                                  A07
2018319016440300000PLANTAO MEDICO/ENFERMAGEM                                                                                     A07
2018319016440400000PLANTAO MOTORISTA                                                                                             A07
2018319016990000000OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL                                                                     S06
2018319016990100000AJUDA DE CUSTO                                                                                                A07
2018319016990200000REMOCOES                                                                                                      A07
2018319016990300000SESSOES EXTRAORDINARIAS                                                                                       A07
2018319034000000000OUTRAS DESPESAS DE PESSOAL DECORRENTES DE  CONTRATOS DE TERCEIRIZAO                                           S05
2018319034010000000SUBSTITUICAO  DE MAO-DE-OBRA  ART18 PAR1 LC 101                                                               A06
2018319046000000000AUXILIO-ALIMENTACAO                                                                                           S05
2018319046000200000AUXILIO-ALIMENTACAO - SERVIDORES                                                                              A07
2018319047000000000OBRIGAES TRIBUTRIAS E CONTRIBUTIVAS                                                                           S05
2018319047000200000CONTRIBUICAO SUPLEMENTAR AO FGTS                                                                              A07
2018319047000300000PAGAMENTO DE PARCELAMENTO DE DIVIDAS COM ENCARGOS SOCIAIS                                                     A07
2018319067000000000DEPSITOS COMPULSRIOS                                                                                          S05
2018319067020000000DEPOSITOS JUDICIAIS                                                                                           A06
2018319067030000000DEPOSITOS PARA RECURSOS                                                                                       A06
2018319067990000000OUTROS DEPOSITOS COMPULSORIOS                                                                                 A06
2018319091000000000SENTENCAS JUDICIAIS                                                                                           S05
2018319091010000000PRECATORIOS - ATIVO CIVIL                                                                                     A06
2018319091060000000SENTENCAS JUDICIAIS DE PEQUENO VALOR                                                                          A06
2018319091230000000PRECATORIOS - INATIVO CIVIL                                                                                   A06
2018319091360000000PRECATORIOS - PENSIONISTA CIVIL                                                                               A06
2018319091990000000OUTRAS SENTENCAS JUDICIAIS                                                                                    A06
